"Acad_Prog","Descr","Acad_Org"
"MDSC","M.Data Science","ENGMATHFO"
"MDSDM","M.Design in Digital Media","ARCH&URBD"
"MEADV","M.Eng (Advanced)","ENGMATHFO"
"MEAER","M.Eng in Aerospace Engineering","ENGMATHFO"
"MECC","M.Economics - coursework","ECONOMICSS"
"MECHE","M.Eng(Chemical)","ENGMATHFO"
"MECIV","M.Eng (Civil & Structural)","ENGMATHFO"
"MECO","M.Economics (Coursework)","ECONOMICSS"
"MECR","M.Economics - research","ECONOMICSS"
"MED","M.Education","EDUCS"
"MEDC","M.Education - c","EDUCS"
"MEDR","M.Educational Research","EDUCS"
"MEDST","M.Educational Studies","EDUCS"
"MEDUC","M.Education","EDUCS"
"MEELE","M.Eng (Electric & Electronic)","ENGMATHFO"
"MEEM","M.Eng(Engineering Maths)","ENGMATHFO"
"MEENV","M.Eng (Civ & Env)","ENGMATHFO"
"MEHWR","M.Eng(Hydrol & Water Res)","ENGMATHFO"
"MEMCT","M.Eng(Mechatronics)","ENGMATHFO"
"MEMEC","M.Eng(Mechanical)","ENGMATHFO"
"MEMT","M.Env. Monitoring Technologies","SCHBIOSCI"
"MEMWJ","M.Eng(MaterialsWeld&Join)","ENGMATHFO"
"MENG","M.Engineering","ENGMATHFO"
"MENMG","M.Int Environmental Mgt","H&SSFO"
"MENPM","M.Env Policy and Management","H&SSFO"
"MENTR","M.Innov. and Entrepreneurship","ECIC"
"MEPM","M.Env Policy & Management","H&SSFO"
"MEPMA","M.Env Policy & Management(App)","H&SSFO"
"MESCR","M.Eng Science - research","ECIC"
"MESQU","M.Eng Science - qualifying","ENGMATHFO"
"MFBE","M.Finance & Business Economics","BUSSCH"
"MFIN","M.Finance","BUSSCH"
"MFS","M.Arts (Food Studies)","H&SSFO"
"MGEOS","M. Geostatistics","ENGMATHFO"
"MGFAB","M.Global Food & Agri Business","GFS"
"MGPCC","M.Grief & Palliat. Care Couns.","PUBLICHLTH"
"MGPCR","M.Grief & Palliative Care - r","HEALTHSCI"
"MHEP","M.Health Economics & Policy","PUBLICHLTH"
"MIB","M.International Business","BUSSCH"
"MIM","M.International Management","BUSSCH"
"MINEN","M. Innov. and Entrepreneurship","ECIC"
"MINTB","M. International Business","BUSSCH"
"MINTD","M.Int. Trade & Development","IBEL"
"MIT","M.Information Technology","ENGMATHFO"
"MITD","M.Int. Trade & Dev.","IBEL"
"MLACK","M. Landscape Arch - coursework","ARCH&URBD"
"MLARC","M.Landscape Arch - coursework","ARCH&URBD"
"MLARR","M.Landscape Arch - research","ARCH&URBD"
"MLAWC","M.Laws - coursework","LAWS"
"MLAWR","M.Laws - research","LAWS"
"MLCMC","M.Laws and M.Commerce","LAWS"
"MLMAF","M.Laws and M.App Fin","LAWS"
"MLMPA","M.Laws and M.Prof Accting","LAWS"
"MMAR","M. Marine Engineering","ENGMATHFO"
"MMASC","M. Mathematical Sciences","ENGMATHFO"
"MMEDQ","M.Med - qualifying","MEDICINE"
"MMEDS","M.Medical Science","HEALTHSCI"
"MMIS","M.Minimally Invasive Surgery","SURGSPEC"
"MMSC","M.Mathematical Science","ENGMATHFO"
"MMSIP","M.Maths Sc (Sig&Info Proc)","ENGMATHFO"
"MMUPP","M.Music (Perf & Pedagogy)","ELDERCON"
"MMUPS","M.Music (Performance Studies)","ELDERCON"
"MMUSP","M.Music (Performance)","ELDERCON"
"MMUSR","M.Mus - research","ELDERCON"
"MNP","M.Nurse Practitioner","CLINNURSE"
"MNUSC","M.Nursing Science","CLINNURSE"
"MOEN","M.Oenology","SCHAG&WINE"
"MOH&S","M.Occupational Health & Safety","PUBLICHLTH"
"MOPH","M.Ophthalmology","HEALTHSCI"
"MPA","M. Professional Accounting","BUSSCH"
"MPARC","M.Philosophy (Architecture)","ARCH&URBD"
"MPART","M.Philosophy (ARTS)","ARTS"
"MPAS","M.Physician Asst Studies","MEDICINE"
"MPBIO","M.Philosophy (Biometrics)","SCIFO"
"MPBM","M.Petroleum Business Mgt","ENGMATHFO"
"MPBUS","M.Philosophy (Business)","BUSSCH"
"MPC/D","M.Psych/PhD","HEALTHSCI"
"MPCLN","M.Philosophy(Clinical Science)","HEALTHSCI"
"MPCMS","M.Philosophy (CMS)","ENGMATHFO"
"MPCON","M.Philosophy (Elder Con)","ELDERCON"
"MPCSC","M.Philosophy(Clinical Science)","HEALTHSCI"
"MPDEN","M.Philosophy (Dentistry)","DENTALSCH"
"MPECO","M.Philosophy (Economics)","ECONOMICSS"
"MPEDU","M.Philosophy (Education)","EDUCS"
"MPEN","M. Petroleum Engineering","ENGMATHFO"
"MPENG","M.Philosophy (ECMS)","ENGMATHFO"
"MPESG","M.Philosophy ((ES&G)","ARTS"
"MPETE","M.Petroleum Engineering","ENGMATHFO"
"MPGFS","M.Philosophy(Global Food St)","GFS"
"MPGPC","M.Philosophy(Grief&Palliative)","HEALTHSCI"
"MPH","M. Public Health","PUBLICHLTH"
"MPHPS","M.Philosophy  (Psychology)","H&SSFO"
"MPHSS","M.Philosophy (ARTS)","H&SSFO"
"MPHUM","M.Philosophy (Arts)","H&SSFO"
"MPLAN","M.Planning","ARCH&URBD"
"MPLAW","M.Philosophy (Law)","LAWS"
"MPLHE","M.Plant Health and Biosecurity","SCHAG&WINE"
"MPM","M.Project Mgt","ECIC"
"MPMED","M.Philosophy (Medical Science)","HEALTHSCI"
"MPMLA","M.Plan (UrbanDes) with M.LArch","ARCH&URBD"
"MPMSH","M. Project Management (Shell)","ECIC"
"MPOHF","M.Psychol. Org.& Human Factors","PSYCHOLOGY"
"MPOPH","M.Philosophy (Ophthalmology)","HEALTHSCI"
"MPPH","M.Philosophy (Public Health)","HEALTHSCI"
"MPPRO","M.Philosophy (Professions)","PROFESSION"
"MPRAC","M.Professional Accounting","BUSSCH"
"MPROP","M.Property","ARCH&URBD"
"MPSCI","M.Philosophy (Sciences)","SCIFO"
"MPSM","M.Pig Science and Management","SCHAG&WINE"
"MPSUR","M.Philosophy (Surgery)","HEALTHSCI"
"MPSYC","M.Psych (Clinical)","PSYCHOLOGY"
"MPSYD","M.Clinical Psychology(Defence)","PSYCHOLOGY"
"MPSYH","M.Psych (Health)","PSYCHOLOGY"
"MPUBH","M.Public Health","PUBLICHLTH"
"MPUD","M.Planning (Urban Design)","ARCH&URBD"
"MPVS","M.Philosophy (Veterinary Sci)","SCIFO"
"MRSEC","M.Research Studies (Economics)","ECONOMICSS"
"MRSPH","M.Research St (Public Health)","PUBLICHLTH"
"MSCAS","M.Science in Addiction Stud","MEDSCI"
"MSCC","M.Science - coursework","SCIFO"
"MSCD","M.Sciences (Defence)","ENGMATHFO"
"MSCDE","M.Science (Dentistry)","DENTALSCH"
"MSCDS","M.Sciences (Defence SIP)","ENGMATHFO"
"MSCEC","M.Sc (Ecotourism)","SCHPHYSCI"
"MSCMC","M.Sc (Math&CompSc)","ENGMATHFO"
"MSCMQ","M.Sc (Math&CompSc)-qualifying","ENGMATHFO"
"MSCMR","M.Sc in Math & Comp Sciences","ENGMATHFO"
"MSCPE","M.Sc (Petroleum Geoscience)","ENGMATHFO"
"MSCQU","M.Science - qualifying","SCIFO"
"MSCR1","M.Science - research (3 yr)","SCIFO"
"MSCR2","M.Science - research (2yr)","SCIFO"
"MSCTA","M.Sc & Tech Commercial (Adv)","ECIC"
"MSCTC","M.Sc & Tech Commercialisation","ECIC"
"MSENG","M.Software Engineering","ENGMATHFO"
"MSIS","M.Spatial Information Science","H&SSFO"
"MSURG","M.Surgery","HEALTHSCI"
"MSUS","M.Sustainability","SCHBIOSCI"
"MSUSA","M.Sustainability (Adv)","SCHBIOSCI"
"MSUSC","M.Surgical Science","SURGSPEC"
"MTEAC","M.Teaching","EDUCS"
"MURBH","M.Urban Habitat Mgt - cw","SCIFO"
"MURBR","M.Urban Design - research","ARCH&URBD"
"MVIT","M.Viticulture","SCHAG&WINE"
"MVO","M.Viticulture & Oenology","SCHAG&WINE"
"MWB","M. Wine Business","BUSSCH"
"MWINB","M.Wine Business","BUSSCH"
"MWRM","M.Water Res Mgt","ENGMATHFO"
"NABCD","Bridging Program in Dentistry","DENTAL"
"NACAP","Community Access Program","H&SSFO"
"NAECM","Non Award-Eng, Comp.&Math.Sc.","ENGMATHFO"
"NAHS","Non Award - Health Sciences","HEALTHSCI"
"NAHSS","Non Award - Arts","H&SSFO"
"NAOUA","Non Award - OUA","ENGMATHFO"
"NAPRO","Non Award - Professions","PROFESSION"
"NASCI","Non Award - Sciences","SCINCESFO"
"PCARB","PCert.Arbitration","LAWS"
"PCART","PCert.Art History","H&SSFO"
"PCASM","PCert.App.Self Man.Super.Fund","BUSSCH"
"PCED","PCert.Education","EDUCS"
"PCEPM","PCert.Env Policy & Management","H&SSFO"
"PCFS","PCert.Food Studies","ARTS"
"PCGAS","Le Cordon Bleu Prof.Cert.Gast.","H&SSFO"
"PCITR","PCert.International Trade","IBEL"
"PCMED","PCert.Mediation","LAWS"
"PCPP","PCert.Public Policy","ECONOMICSS"
"PCSMS","PC Self-Managed Super Funds","BUSSCH"
"PCURB","PCert.Urban Habitat Management","SCIFO"
"PEP05","Pre-Enrol English Program (5)","P&CONTED"
"PEP10","Pre-Enrol English Program (10)","P&CONTED"
"PEP15","Pre-Enrol English Program (15)","P&CONTED"
"PEP20","Pre-Enrol English Program (20)","P&CONTED"
"PEP25","Pre-Enrol English Program (25)","P&CONTED"
"PEP30","Pre-Enrol English Program (30)","P&CONTED"
"PHARC","Ph.D in Architecture","ARCH&URBD"
"PHART","Ph.D in Arts","ARTS"
"PHBIO","Ph.D in Biometrics","SCIFO"
"PHBUS","Ph.D in Business","BUSSCH"
"PHCOM","Ph.D in Commerce","BUSSCH"
"PHCON","Ph.D in Elder Con","ELDERCON"
"PHDEN","Ph.D in Dentistry","DENTALSCH"
"PHECO","Ph.D in Economics","ECONOMICSS"
"PHEDU","Ph.D in Education","EDUCS"
"PHEIC","Ph.D in ECIC","PROFESSION"
"PHENG","Ph.D in Engineering","ENGMATHFO"
"PHGFS","Ph.D in Global Food Studies","GFS"
"PHGSM","Ph.D in Grad Sch of Management","BUSSCH"
"PHHPS","Ph.D in Arts (Psy)","H&SSFO"
"PHHSS","Ph.D in Arts","H&SSFO"
"PHLAW","Ph.D in Law","LAWS"
"PHMCS","Ph.D in Math&CompSc","ENGMATHFO"
"PHMD","Ph.D in Medicine","HEALTHSCI"
"PHMED","Ph.D in Medicine","HEALTHSCI"
"PHMPC","PhD/M.Psych (Clin)","HEALTHSCI"
"PHMPH","PhD/M.Psych (Hlth)","HEALTHSCI"
"PHMPO","PhD/M.Psych (Org&HF)","HEALTHSCI"
"PHOPH","Ph.D in Ophthalmology","HEALTHSCI"
"PHPRO","Ph.D in Professions","PROFESSION"
"PHPUB","Ph.D by Publication",""
"PHSCI","Ph.D in Sciences","SCIFO"
"PHSUR","Ph.D in Surgery","HEALTHSCI"
"PHVS","Ph.D in Veterinary Science","SCIFO"
"STABR","Study Abroad","P&CONTED"
"UACFS","UoA College Foundation Studies","DVC&P"
"UAPP","UoA Preparatory Program","EDUCS"
"UNDPG","Undeclared - Postgrad Coursewk","ADMINSERV"
"UNDUG","Undeclared - Undergraduate","ADMINSERV"
"UNILS","University Language Skills","DVC&P"
"UTP","University Transition Program","DVC&P"
"XPDSM","Xinst PG Dental Sleep Medicine","DENTAL"
"XPECM","XInst PG Eng, Comp. & Math.Sc.","ENGMATHFO"
"XPHSC","XInst PG Health Sciences","HEALTHSCI"
"XPHSS","XInst PG Arts","H&SSFO"
"XPPRO","XInst PG Professions","PROFESSION"
"XPSCI","XInst PG Sciences","SCINCESFO"
"XUECM","XInst UG Eng, Comp. & Math.Sc.","ENGMATHFO"
"XUHSC","XInst UG Health Sciences","HEALTHSCI"
"XUHSS","XInst UG Arts","H&SSFO"
"XUPRO","XInst UG Professions","PROFESSION"
"XUSCI","XInst UG Sciences","SCINCESFO"
